t,Antenna ID,Event Code,Device ID,x,y, Tile ID
19,194,2,289,600384.426337,650135.919067,439
19,45,2,273,600098.606720,649132.313536,166
19,219,1,280,600554.549634,648743.252808,62
19,35,2,296,600387.806574,653037.778462,1222
19,23,2,246,599987.832676,651933.067514,921
19,45,0,241,599987.571627,648990.657323,111
19,99,1,270,601269.507738,649271.093619,204
19,126,0,291,601133.236234,650304.814745,500
19,45,1,299,600078.643630,648822.477079,85
19,33,0,280,600554.549634,648743.252808,62
19,136,0,270,601269.507738,649271.093619,204
19,45,0,242,599987.571627,648990.657323,111
19,79,2,283,600582.694280,651483.754573,792
19,131,2,234,601514.911596,650068.348954,423
19,35,2,297,600387.806574,653037.778462,1222
19,126,0,292,601133.236234,650304.814745,500
19,201,2,268,600410.273702,650778.988449,601
19,23,2,245,599987.832676,651933.067514,921
19,71,0,299,600078.643630,648822.477079,85
19,158,1,291,601133.236234,650304.814745,500
19,221,1,242,599987.571627,648990.657323,111
19,213,2,253,599821.045903,650050.220257,406
19,125,0,257,601152.905796,651375.737733,770
20,213,2,253,599821.045903,650050.220257,406
20,148,0,296,600440.794600,652871.456006,1168
20,131,2,234,601514.911596,650068.348954,423
20,23,2,259,600078.941324,651854.245087,895
20,97,2,276,600417.844322,650529.417888,547
20,194,2,289,600384.426337,650135.919067,439
20,23,2,245,599987.832676,651933.067514,921
20,79,1,283,600793.228624,651487.560420,794
20,106,0,291,601313.513827,650261.674850,475
20,71,2,299,600078.643630,648822.477079,85
20,109,0,241,600053.218578,650014.605814,408
20,35,1,297,600440.794600,652871.456006,1168
20,201,2,268,600410.273702,650778.988449,601
20,109,0,242,600053.218578,650014.605814,408
20,45,2,273,600098.606720,649132.313536,166
20,35,1,296,600440.794600,652871.456006,1168
20,45,1,242,600053.218578,650014.605814,408
20,33,2,280,600618.130692,648927.299183,117
20,126,1,292,601313.513827,650261.674850,475
20,197,0,284,600793.228624,651487.560420,794
