t;Person ID;x;y
14;294;601334.504409;650275.520800
14;293;600381.495263;650354.538096
14;290;600624.821241;650886.697130
14;288;600384.426337;650135.919067
14;287;600985.582139;652129.582394
14;286;600553.516493;648722.840437
14;285;601089.555226;648911.117481
14;282;600063.012987;651855.490516
14;281;601772.365239;649602.391517
14;279;600255.040228;649027.918590
14;278;600164.797110;649620.317554
14;277;600164.648292;649727.698063
14;275;600773.502104;650132.389794
14;274;599871.716355;650063.791936
14;272;600195.744990;649919.004013
14;271;601194.988311;652258.704697
14;269;600228.593521;649307.067319
14;267;600410.273702;650778.988449
14;266;601427.567027;650073.855850
14;265;601129.363851;653165.842843
14;264;600289.599523;652294.343180
14;263;600496.164115;649538.306343
14;262;600865.142286;649993.726867
14;261;601573.074970;651562.612122
14;260;599778.170069;650148.694879
14;258;600078.941324;651854.245087
14;256;600685.346454;652009.457805
14;255;601027.839567;652554.729750
14;254;599992.105301;649432.303107
14;252;599821.045903;650050.220257
14;251;600765.509750;649294.152685
14;250;600862.280572;650180.097968
14;249;600774.502975;651560.380395
14;248;601325.680391;650926.786395
14;247;600390.354801;650506.897934
14;244;599987.832676;651933.067514
14;243;600953.827946;652633.228570
14;240;601485.167003;649617.923509
14;239;600330.141181;650474.633084
14;238;600283.514429;648629.371179
14;237;600437.679664;648933.437076
14;236;599721.220797;648970.795475
14;235;600960.464182;650185.151491
14;233;601514.911596;650068.348954
14;232;600028.886450;648578.742008
14;231;601607.333938;650103.890750
14;229;600284.643085;653002.162496
15;300;600302.824531;649998.555058
15;298;599892.720361;649359.973935
15;295;600361.369070;653379.649436
15;294;601334.504409;650275.520800
15;293;600381.495263;650354.538096
15;290;600630.247813;650701.409210
15;288;600384.426337;650135.919067
15;287;600127.510564;652782.475911
15;286;600695.243418;648804.457260
15;285;601294.895432;648826.571412
15;282;600063.012987;651855.490516
15;281;601772.365239;649602.391517
15;279;600255.040228;649027.918590
15;278;600998.898626;648823.759603
15;277;601259.197859;649593.288117
15;275;600645.326577;650255.798481
15;274;599871.716355;650063.791936
15;272;600098.606720;649132.313536
15;271;601240.459407;652073.327900
15;269;600939.502686;648631.315721
15;267;600410.273702;650778.988449
15;266;601427.567027;650073.855850
15;265;600993.145699;653336.296426
15;264;601207.797669;651766.666883
15;263;599824.357361;650187.321226
15;262;600979.621174;649827.210365
15;261;601481.113260;650496.417819
15;260;599778.170069;650148.694879
15;258;600078.941324;651854.245087
15;256;600817.693220;651882.719553
15;255;601027.839567;652554.729750
15;254;600068.690339;649258.258667
15;252;599821.045903;650050.220257
15;251;600787.094671;649123.317043
15;250;601223.759667;649391.120399
15;249;600139.160556;652393.278584
15;248;601325.680391;650926.786395
15;247;600390.354801;650506.897934
15;244;599987.832676;651933.067514
15;243;600830.257671;652798.062169
15;240;600690.866696;650267.436447
15;239;600330.141181;650474.633084
15;238;600283.514429;648629.371179
15;237;600437.679664;648933.437076
15;236;599721.220797;648970.795475
15;235;601784.955585;650149.527759
15;233;601514.911596;650068.348954
15;232;600028.886450;648578.742008
15;231;601607.333938;650103.890750
15;229;600284.643085;653002.162496
16;300;601191.582282;649763.813034
16;298;599957.709426;649220.863673
16;295;600361.369070;653379.649436
16;294;601553.224888;651353.094825
16;293;600381.495263;650354.538096
16;290;600815.016906;650686.528241
16;288;600384.426337;650135.919067
16;287;600127.510564;652782.475911
16;286;600627.226040;648953.190119
16;285;601294.895432;648826.571412
16;282;600030.652318;651647.423264
16;281;601772.365239;649602.391517
